Track Number,Track name,artists,genre
119,Ameliorate,Like Moths To Flames,metalcore
120,Nightmare,Polaris,metalcore
121,Remember Me,Currents,metalcore
122,All of This Is Fleeting,Polaris,metalcore
123,Hysteria,Spiritbox,metalcore
124,Without a Whisper,Invent Animate,metalcore
125,It Never Ends,Bring Me The Horizon,metalcore
126,ANYTHING > HUMAN,"Bad Omens, ERRA",metalcore
127,Ghost Of Me,Make Them Suffer,metalcore
128,Mana God,Make Them Suffer,metalcore
129,Relapse,Wage War,metalcore
130,True Colors,Wage War,metalcore
131,Ghost,Imminence,metalcore
132,Two Suns,Kingdom Of Giants,metalcore
133,Monsters,Currents,metalcore
134,Rage,Aviana,metalcore
135,Time,The Devil Wears Prada,metalcore
136,Bones,Make Them Suffer,metalcore
137,Self-Made Black Hole,"LANDMVRKS, Resolve",metalcore
138,Noise,The Devil Wears Prada,metalcore
139,Wayfinder,Kingdom Of Giants,metalcore
140,The Hell I Overcame,Bad Omens,metalcore
141,End (The Other Side),Fit For A King,metalcore
142,Pray for Rain,Polaris,metalcore
143,Reaper,Fit For A King,metalcore
144,Gungrave,ERRA,metalcore
145,Teeth,Wage War,metalcore
146,Afflicted,Hollow Front,metalcore
147,Bleed 4 You,Alpha Wolf,metalcore7
148,Black Hole,Betraying The Martyrs,metalcore
149,Terrorist,NOVELISTS,metalcore
150,Viscera,Veil Of Maya,metalcore
151,Death Roll,Wage War,metalcore
152,Holy Roller (feat. Ryo Kinoshita),"Spiritbox, Ryo Kinoshita",metalcore
153,So Alone,Currents,metalcore
154,Surrender,Imminence,metalcore
155,Death,"LANDMVRKS, DR€W ¥ORK",metalcore
156,Infectious,Imminence,metalcore
157,Metamorph,Oceans Ate Alaska,metalcore
158,Under Fire,Miss May I,metalcore
159,Anchor,Of Mice & Men,metalcore
160,Soul Decay,Make Them Suffer,metalcore
161,Giving Blood,Architects,metalcore
162,Plagued,We Came As Romans,metalcore
163,Exhibition,The Devil Wears Prada,metalcore
164,Exhibition,The Devil Wears Prada,metalcore
165,Godspeed,Wage War,metalcore
166,Daggers,"We Came As Romans, Zero 9:36",metalcore
167,Daggers,"We Came As Romans, Zero 9:36",metalcore
168,Landmine,Polaris,metalcore
169,Take Flight,"Termina, Nik Nocturnal, Andy Cizek",metalcore
170,The Hell We Create,Fit For A King,metalcore
171,The Hell We Create,Fit For A King,metalcore
172,Outrun,Veil Of Maya,metalcore
173,Lucid,Polaris,metalcore
174,Unconquered,Miss May I,metalcore
175,The Death We Seek,Currents,metalcore
176,Into Despair,Currents,metalcore
177,Shadowmourne,Born Of Osiris,metalcore
178,Vendetta,Fit For A King,metalcore
179,Overrated,LANDMVRKS,metalcore
180,EYE TO EYE,While She Sleeps,metalcore
181,Gold Blooded,InVisions,metalcore
182,Heretic,"LANDMVRKS, NOVELISTS",metalcore
183,High Horse,Wage War,metalcore
184,INTO THE DARK,Void Of Vision,metalcore
185,Hotel Underground,Alpha Wolf,metalcore
186,Temptation,Imminence,metalcore
187,Backbreaker,Fit For A King,metalcore
188,Exit Wounds,Bad Omens,metalcore
189,Slow Burn,Wage War,metalcore
190,Slow Burn,Wage War,metalcore
191,Blood & Honey,Cane Hill,metalcore
192,Holy Hell,Architects,metalcore
193,Vengeance,Currents,metalcore
194,Dissipate,Polaris,metalcore
195,Translucent,"Termina, Nik Nocturnal, Andy Cizek",metalcore
196,Poster Child,Born Of Osiris,metalcore
197,Angel or Alien,Born Of Osiris,metalcore
198,Bleach,Kingdom Of Giants,metalcore
199,Divisionary,ERRA,metalcore
200,60cm Of Steel,"Alpha Wolf, Holding Absence",metalcore
201,A Quiet Place to Die,Alpha Wolf,metalcore
202,Crooked Path,Polaris,metalcore
203,Chasing Shadows,Imminence,metalcore
204,Living In Tragedy,Currents,metalcore
205,Masochist,Polaris,metalcore
206,Wasted Space,Kingdom Of Giants,metalcore
207,Consume,Polaris,metalcore
208,Treading Water,Hollow Front,metalcore
209,Red Fur,Veil Of Maya,metalcore
210,In Another Life (feat. Courtney LaPlante),"Crown The Empire, Courtney LaPlante",metalcore
211,Silk In The Strings,Spiritbox,metalcore
212,Outsider,Veil Of Maya,metalcore
213,Don't Fall Asleep,Hollow Front,metalcore
214,The Sun Sleeps,Invent Animate,metalcore
215,Darkbloom,"We Came As Romans, Brand of Sacrifice",metalcore
216,Vanish Canvas,ERRA,metalcore
217,Kill the Ache,Currents,metalcore
218,Lost Cause,NOVELISTS,metalcore
219,Carry the Weight,We Came As Romans,metalcore
220,Apnea,Currents,metalcore
221,Drown With Me,Make Them Suffer,metalcore
222,Man on Fire,Bury Tomorrow,metalcore
223,Under The Gun,Born Of Osiris,metalcore
224,Habitual Decline,Like Moths To Flames,metalcore
225,House of Glass,ERRA,metalcore
226,Deadlock,InVisions,metalcore
227,Shattered Glass,Fit For A King,metalcore
228,Shade Astray,Invent Animate,metalcore
229,Mercy,Bad Omens,metalcore
230,Hypochondria,Dragged Under,metalcore
231,Disobey,Crystal Lake,metalcore
232,Step One,Make Them Suffer,metalcore
233,Nowhere Left To Sink,Like Moths To Flames,metalcore
234,The Price of Grace,Convictions,metalcore
235,Poverty of Self,Currents,metalcore
236,Aftermath,The Ghost Inside,metalcore
237,Second Skin,Currents,metalcore
238,Hansha,Oceans Ate Alaska,metalcore
239,Blue Dream,Kingdom Of Giants,metalcore
240,Say No Word,LANDMVRKS,metalcore
241,Breach,ERRA,metalcore
242,The River,Wage War,metalcore
243,Times Like This,"Fit For A King, The Ghost Inside",metalcore
244,SYSTEMATIC,While She Sleeps,metalcore
245,Split,Currents,metalcore
246,No Cure,"Elwood Stray, The Narrator",metalcore
247,Feel the Same,Currents,metalcore
248,The Blade,SION,metalcore
249,Over And Over,Currents,metalcore
250,Anomaly,Aviana,metalcore
251,Crawl,Miss May I,metalcore
252,Paralyzed,Imminence,metalcore
253,Tired of It All,LANDMVRKS,metalcore
254,Gone with the Wind,Architects,metalcore
255,Dusk to Day,Polaris,metalcore
256,The Writer,Breakdown of Sanity,metalcore
257,Latent Perception,Before I Turn,metalcore
258,Martyr (Waves),Polaris,metalcore
259,Even God Has A Hell,Like Moths To Flames,metalcore
260,Abandon Us,Bury Tomorrow,metalcore
261,Blame Shift,ENOX,metalcore
262,DEATH (Ever Colder),Bury Tomorrow,metalcore
263,Roots Below,As I Lay Dying,metalcore
264,The Anatomy of Evil,Like Moths To Flames,metalcore
265,Sync,Kingdom Of Giants,metalcore
266,ENLIGHTENMENT(?),While She Sleeps,metalcore
267,Die for Me,Alleviate,metalcore
268,Broken,"If I Were You, Devin Oliver",metalcore
