,Track name,artists,genre,Likes
129,True Colors,Wage War,metalcore,LIKE
12580,Die Slow (with Strick),Young Thug,Rap,DISLIKE
144,Teeth,Wage War,metalcore,LIKE
73,Reaching,The Devil Wears Prada,metalcore,LIKE
7467,Keep Searchin’ (WE’LL Follow The Sun),Del Shannon,Pop,DISLIKE
93,Pittsburgh (No Intro),The Amity Affliction,metalcore,LIKE
239,Say No Word,LANDMVRKS,metalcore,LIKE
4409,Something About That Woman,Lakeside,Funk,DISLIKE
70,Death Is All Around,The Amity Affliction,metalcore,LIKE
209,In Another Life (feat. Courtney LaPlante),"Crown The Empire, Courtney LaPlante",metalcore,LIKE
78,Ground Zero,Parkway Drive,metalcore,LIKE
13852,Day In Day Out,Catch 22,SKA,DISLIKE
14632,Forever,Noah Kahan,Today,DISLIKE
10910,Hall of Mirrors,The Distillers,Punk,DISLIKE
85,Never Said Goodbye,Wage War,metalcore,LIKE
14278,Nothin' on You,Cody Johnson,Today,DISLIKE
36,Black Hole,"We Came As Romans, Caleb Shomo",metalcore,LIKE
3525,Melting over You,Slushii,EDM,DISLIKE
182,High Horse,Wage War,metalcore,LIKE
762,Gone Daddy Gone,Violent Femmes,Alt. Rock,DISLIKE
4181,The Last Thing on My Mind,Tom Paxton,Folk,DISLIKE
9462,Send One Your Love,Stevie Wonder,Pop,DISLIKE
15,My Own Grave,As I Lay Dying,metalcore,LIKE
145,Afflicted,Hollow Front,metalcore,LIKE
2591,Papa Don't Take No Mess,James Brown,Disco,DISLIKE
125,ANYTHING > HUMAN,"Bad Omens, ERRA",metalcore,LIKE
7599,Notorious,Duran Duran,Pop,DISLIKE
171,Outrun,Veil Of Maya,metalcore,LIKE
1032,Sugar Sweet,James Cotton,Blues,DISLIKE
64,Backfire,August Burns Red,metalcore,LIKE
13096,Voices,Bee Gees,Rock,DISLIKE
104,Overthrone,Bleed From Within,metalcore,LIKE
87,The Fire Itself,Phinehas,metalcore,LIKE
2244,Beer For My Horses,Toby Keith,Country,DISLIKE
156,Metamorph,Oceans Ate Alaska,metalcore,LIKE
251,Paralyzed,Imminence,metalcore,LIKE
7911,I Heard It Through The Grapevine,Gladys Knight & the Pips,Pop,DISLIKE
2175,Cowboy Take Me Away,The Chicks,Country,DISLIKE
2159,I Need More Of You,The Bellamy Brothers,Country,DISLIKE
601,Close to Me,The Cure,Alt. Rock,DISLIKE
201,Crooked Path,Polaris,metalcore,LIKE
219,Apnea,Currents,metalcore,LIKE
12570,SAD!,XXXTENTACION,Rap,DISLIKE
10648,Halloween,Misfits,Punk,DISLIKE
12,Snowblood,ERRA,metalcore,LIKE
5096,Daahoud,Clifford Brown,Jazz,DISLIKE
126,Ghost Of Me,Make Them Suffer,metalcore,LIKE
81,Nigh to Silence,ERRA,metalcore,LIKE
7939,Friends And Lovers,Gloria Loring and Carl Anderson,Pop,DISLIKE
8963,A Whole New World,Peabo Bryson and Regina Belle,Pop,DISLIKE
8131,Love Will Never Do (WITHOUT You),Janet Jackson,Pop,DISLIKE
247,The Blade,SION,metalcore,LIKE
159,Soul Decay,Make Them Suffer,metalcore,LIKE
139,The Hell I Overcame,Bad Omens,metalcore,LIKE
150,Death Roll,Wage War,metalcore,LIKE
1655,Woman (Sensuous Woman),Don Gibson,Country,DISLIKE
119,Nightmare,Polaris,metalcore,LIKE
180,Gold Blooded,InVisions,metalcore,LIKE
5004,Lady Sings The Blues,Billie Holiday,Jazz,DISLIKE
162,Exhibition,The Devil Wears Prada,metalcore,LIKE
241,The River,Wage War,metalcore,LIKE
43,I Am Damnation,Bleed From Within,metalcore,LIKE
168,Take Flight,"Termina, Nik Nocturnal, Andy Cizek",metalcore,LIKE
215,Vanish Canvas,ERRA,metalcore,LIKE
248,Over And Over,Currents,metalcore,LIKE
226,Shattered Glass,Fit For A King,metalcore,LIKE
142,Reaper,Fit For A King,metalcore,LIKE
9475,Lady,Styx,Pop,DISLIKE
7414,Adult Education,Daryl Hall & John Oates,Pop,DISLIKE
4327,Let It All Blow - Special Disco Remix,Dazz Band,Funk,DISLIKE
31,Views From Halfway Down,Like Moths To Flames,metalcore,LIKE
186,Backbreaker,Fit For A King,metalcore,LIKE
13988,Just A Girl,No Doubt,SKA,DISLIKE
165,Hunger,Florence + The Machine,Alt. Rock,DISLIKE
128,Relapse,Wage War,metalcore,LIKE
253,Gone with the Wind,Architects,metalcore,LIKE
221,Man on Fire,Bury Tomorrow,metalcore,LIKE
8996,Leaving On A Jet Plane,"Peter,Paul and Mary",Pop,DISLIKE
8300,Without You,Johnny Tillotson,Pop,DISLIKE
212,Don't Fall Asleep,Hollow Front,metalcore,LIKE
111,Watch Me Burn,Crystal Lake,metalcore,LIKE
94,Left Behind,The Plot In You,metalcore,LIKE
153,Surrender,Imminence,metalcore,LIKE
11225,Shining Star,"Earth,Wind & Fire",R&B,DISLIKE
7430,California Girls,David Lee Roth,Pop,DISLIKE
124,It Never Ends,Bring Me The Horizon,metalcore,LIKE
1681,What I’d Say,Earl Thomas Conley,Country,DISLIKE
181,Heretic,"LANDMVRKS, NOVELISTS",metalcore,LIKE
48,Assault & Batteries,Ice Nine Kills,metalcore,LIKE
3916,I Eat Dinner,Kate & Anna McGarrigle,Folk,DISLIKE
14661,Pretty Heart,Parker McCollum,Today,DISLIKE
173,Unconquered,Miss May I,metalcore,LIKE
115,Heavener,Invent Animate,metalcore,LIKE
13270,Medazzaland,Duran Duran,Rock,DISLIKE
10613,Leaving on a Jet Plane,Me First and the Gimme Gimmes,Punk,DISLIKE
12527,Who Dat Boy (feat. A$AP Rocky),"Tyler,The Creator",Rap,DISLIKE
28,Neon Grave,Dayseeker,metalcore,LIKE
10153,Polk Salad Annie,Tony Joe White,Pop,DISLIKE
175,Into Despair,Currents,metalcore,LIKE
131,Two Suns,Kingdom Of Giants,metalcore,LIKE
9637,Stomp!,The Brothers Johnson,Pop,DISLIKE
5272,Hang Up Your Hang Ups,Herbie Hancock,Jazz,DISLIKE
249,Anomaly,Aviana,metalcore,LIKE
166,Daggers,"We Came As Romans, Zero 9:36",metalcore,LIKE
6628,Music Of My Heart,‘N Sync and Gloria Estefan,Pop,DISLIKE
6667,New York Groove,Ace Frehley,Pop,DISLIKE
40,Obsession,Aviana,metalcore,LIKE
210,Silk In The Strings,Spiritbox,metalcore,LIKE
3853,Crazy,Joan Armatrading,Folk,DISLIKE
